%Id Name       Min_El  Max_Range  Boresight_Half_Ang_Az Boresight_Half_Ang_El  PRF_FC Dt_Track  Sig_Bias_Ang_rads Sig_Meas_Ang_rads  Sig_Meas_Rng  Sig_Pos_Min  Sig_Vel_Min Sig_Pos  Sig_Vel  Dt_Deploy_Det  Dt_Disc  Disc_Fro  ESA  nFaces minRng  OffBorCosPwr SNRdetThr  SchRate  RefSigAngNoise SigAngMin SigAngRelErrBias RngRes RefRCS  RefRng   RefSNR  TrkFcLd  FC_snsr  Max_El  BoresightEl  DwellTime  AreadOfBeam  
1  XBR         4.0    6000000.0      90.0                  90.0                1.0    10.0        0.002            0.00005             300           500          5        10000.0  5.0         10.0        100.0    0.80      1      4   500.0       2          12.0        1.0      0.002         0.00005      0.00005      0.2   -10.0   65000.0   1.0      150       0      85.0    20.0          0.0          0.0
2  UEW         4.0    5000000.0      90.0                  90.0                1.0    15.0        0.002            0.00005             300          1000         10        30000.0  10.0        10.0        100.0    0.50      1      4   500.0       2          12.0        1.0      0.002         0.00005      0.00005      0.2   -10.0   65000.0   1.0      150       0      85.0    20.0          0.0          0.0
3  CD          4.0    4000000.0      30.0                  30.0                1.0    10.0        0.002            0.00005             300          1000         10        10000.0  5.0         10.0        100.0    0.40      1      4   500.0       2          12.0        1.0      0.002         0.00005      0.00005      0.2   -10.0   65000.0   1.0      150       0      85.0    20.0          0.0          0.0
4  THD         4.0    2000000.0      60.0                  60.0                1.0    10.0        0.002            0.00005             100           200          2        10000.0  5.0         10.0        100.0    0.50      1      1   500.0       2          12.0        1.0      0.002         0.00005      0.00005      0.2   -20.0   700000.0   12.0      150       0      85.0    20.0          0.0          0.0
5  SPY         4.0    2000000.0      90.0                  90.0                1.0     1.9        0.002            0.00005             100           200          2         1000.0  5.0          1.9          5.0    0.50      1      4   500.0       1.5         6.0        1.0      0.002         0.00005      0.00005      0.5   -15.0   200000.0   12.0       50       1      85.0    20.0          0.0          0.0
6  EAPS        3.0      50000.0      45.0                  45.0              200.0     3.0        0.003            0.000125              0.6           0.10       0.02        50.0  1.0          2.0          5.0    0.50      1      4   500.0       2           6.1        1.0      0.000065      0.00005      0.00005      5.0   -25.0   12240.0   6.6       10       1      85.0    20.0          0.0          0.0
7  LPWS        3.0       9000.0      90.0                  90.0              200.0     3.0        0.003            0.000125              0.6           0.10       0.02        50.0  1.0          2.0          5.0    0.50      0      1   500.0       0          12.0        1.0      0.002         0.002        0.00005      5.0   -10.0   10000.0  12.0        2       1      85.0    20.0          0.0          0.0
8  LCMR        3.0      10000.0     180.0                 180.0              200.0     3.0        0.003            0.000125              0.6           0.10       0.02        50.0  1.0          2.0          5.0    0.50      1      1   500.0       2          12.0     1080.0      0.0095        0.002        0.00005    240.0   -14.8   10000.0  12.0       50       0      30.0    20.0          0.00256      0.0
9  Firfndr_37  3.0      50000.0      45.0                  45.0              200.0     3.0        0.003            0.000125              0.6           0.10       0.02        50.0  1.0          2.0          5.0    0.50      1      1  3000.0       2          12.0      360.0      0.005         0.002        0.00005    600.0   -19.5   50000.0  12.0       50       0       6.0    20.0          0.0          0.0
10 Giraffe     3.0     180000.0     180.0                 180.0              200.0     3.0        0.003            0.000125              0.6           0.10       0.02        50.0  1.0          2.0          5.0    0.50      1      1   750.0       2          12.0      360.0      0.002         0.002        0.00005     32.0   -15.4   20000.0  12.0      150       0      70.0    20.0          0.0          0.0
11 Sentinel    3.0      40000.0     180.0                 180.0              200.0     3.0        0.003            0.000125              0.6           0.10       0.02        50.0  1.0          2.0          5.0    0.50      1      1   750.0       2          12.0      180.0      0.0035        0.002        0.00005    320.0    -3.0   40000.0  12.0       50       0      55.0    20.0          0.0          0.0
12 EQ_36       3.0      50000.0      45.0                  45.0              200.0     3.0        0.003            0.000125              0.6           0.10       0.02        50.0  1.0          2.0          5.0    0.50      1      1   750.0       2          12.0      360.0      0.005         0.002        0.00005    600.0   -19.5   50000.0  12.0       50       0       6.0    20.0          0.0          0.0
13 KRFS        2.0      50000.0      60.0                  60.0              200.0     1.0        0.003            0.000125              0.6           0.10       0.02        50.0  1.0          2.0          5.0    0.50      1      4   300.0       2          12.0        1.0      0.000065      0.00005      0.00005      5.0   -20.0   10000.0  25.08      10       1      80.0    20.0          0.0026       0.0
