%System_ID     Name   DT_Stage1   DT_Stage2   DT_Stage3   DT_Short_Max   VBO      GamMin   GamMax   PMF   Beta     Launch_EL   DT_Const_Thrust   Max_Steer_Rate   Fixed_Launch_Dir
   1          SYS1   268.0        0           0           59.6          7242.5     3.6    58.4     0.10     0      90.0        10.0              1.0             1
   2          SYS2   194.7        0           0           37.9          7495.4     5.5    59.7     0.10     0      90.0        10.0              1.0             1
   3          SYS3   179.0        0           0            0.0          6644.2     4.1    74.6     0.10     0      90.0        10.0              1.0             1
   4          SYS4   210.3        0           0           31.7          6738.5     5.9    59.6     0.10     0      90.0        10.0              1.0             1
   5          SYS5   296.9        0           0          134.0          7420.0     2.0    65.7     0.10     0      90.0        10.0              1.0             1
   6          SYS6   232.2        0           0            0.0          7103.5     4.4    76.3     0.10     0      90.0        10.0              1.0             1
   7          SYS7   257.5        0           0           39.8          6799.3     3.8    73.8     0.10     0      90.0        10.0              1.0             1
   8          SYS8   129.5        0           0            0.0          7207.5    12.3    75.0     0.05     0      90.0        10.0              1.0             1
   9          SYS9   105.1        0           0           12.1          3028.3    38.5    38.8     0.10     0      90.0        10.0              1.0             1
  10         SYS10   211.0        0           0            0.0          6970.2     9.6    57.1     0.05     0      90.0        10.0              1.0             1
  14         SYS14   179.2        0           0           47.7          7353.0    10.1    28.4     0.10     0      90.0        10.0              1.0             1
  15         SYS15   210.3        0           0           43.8          7040.0    12.3    21.7     0.05     0      90.0        10.0              1.0             1
  16         SYS16   210.2        0           0           31.7          7584.0    11.2    29.2     0.50     0      90.0        10.0              1.0             1
  20         SYS20   106.1        0           0           30.1          3089.0    38.7    39.9     0.10     0      90.0         5.0              1.0             1
  30         SYS30   116.3        0           0           13.2          2793.0    37.4    38.0     0.10     0      90.0         5.0              1.0             1
  31         SYS31   138.6        0           0           21.6          4671.0    32.4    34.8     0.05     0      90.0        10.0              1.0             1
  41         SYS41   193.8        0           0            2.3          6674.0    11.1    53.2     0.10     0      90.0        10.0              1.0             1
  42         SYS42   134.8        0           0           34.2          3882.0    30.5    69.5     0.30     0      90.0        10.0              1.0             1
  43         SYS43   121.4        0           0           24.3          4212.0    30.7    69.6     0.15     0      90.0        10.0              1.0             1
  66         SYS66   141.2        0           0           25.3          4236.0    32.9    35.1     0.05     0      90.0        10.0              1.0             1
  79         SYS79   240.0        0           0           29.8          7265.0    11.2    60.4     0.08     0      90.0       100.0              1.0             1
  80         SYS80   260.2        0           0           49.5          7359.0    15.9    18.2     0.10     0      90.0        10.0              1.0             1
  81         SYS81   172.8        0           0           37.8          5288.0    13.4    41.0     0.10     0      90.0        10.0              1.0             1
  82         SYS82   118.6        0           0           19.4          5030.0    14.7    39.4     0.05     0      90.0        10.0              1.0             1
  98         SYS98    69.3        0           0           23.9          1559.2    41.0    49.2     0.10     0      90.0         5.0              2.0             1
  99         SYS99    71.9        0           0           25.0          1995.0    42.2    45.6     0.10     0      90.0         5.0              2.0             1
 100        SYS100    87.5        0           0            0.0          1619.7    40.1    89.7     0.05     0      90.0         5.0              2.0             1
 101        SYS101    95.0        0           0            0.0          1940.0    38.6    90.0     0.06     0      90.0        10.0              2.0             1
 111        SYS111   105.4        0           0            7.3          3075.0    39.0    39.3     0.10     0      90.0         5.0              2.0             1
 200           AI3     4.5        0           0            0.0           765.0     0.0    90.0     0.65  7000.0     0.0         0.0              0.0             0
 201          EAPS     5.62       0           0            0.0          1100.0   -25.0    90.0     0.05  5550.0    35.0         0.0              0.0             1
 202      EAPSSeek     4.12       0           0            0.0          1011.0   -25.0    90.0     0.10  5550.0    45.0         0.0             30.0             1
 203      SLAMRAAM     6.0        0           0            0.0          1100.0   -20.0    90.0     0.10  4400.0    40.0         0.0             25.0             1
 204          PAC2    12.0        0           0            0.0          1700.0   -30.0    90.0     0.38  5400.0    40.0         1.0             15.0             1
 205          PAC3    18.0        0           0            0.0          1300.0   -25.0    90.0     0.25  7400.0    40.0         0.5             45.0             1
 206           MSE    16.0        0           0            0.0          1550.0   -25.0    90.0     0.12  5400.0    40.0         1.0             15.0             1
 220           GMD    90.0       70          70            0.0          6300.0     0.0    90.0     0.01     0.0    90.0        10.0              1.0             1
 225           SM6    20.0        0           0            0.0          1200.0     0.0    90.0     0.50     0.0    90.0         0.5             30.0             1
 228           SM3    13.0       20          12            0.0          3200.0     0.0    90.0     0.50     0.0    90.0         5.0             10.0             1
 229        SM3B1B    60.0        0           0            0.0          3900.0     0.0    90.0     0.50     0.0    90.0         5.0             10.0             1
 230         SM3B2    25.0       20          12            0.0          4500.0     0.0    90.0     0.50     0.0    90.0         5.0             10.0             1
 231         THAAD    20.0        0           0            0.0          1900.0     0.0    90.0     0.20     0.0    35.0         1.0             10.0             1
 235          HAWK     5.0        0           0            0.0           600.0     0.0    90.0     0.20     0.0    90.0         0.0             30.0             1
 236       Crotale     2.0        0           0            0.0           782.0   -30.0    90.0     0.20  5000.0    90.0         0.0             70.0             1
 237       Avenger     2.0        0           0            0.0           750.0   -30.0    90.0     0.20  5000.0    90.0         0.0             70.0             1
 238       Aster30    16          0           0            0.0          1400.0   -20.0    90.0     0.25     0.0    90.0         0.5             50.0             1
 251       BulletA     0.0        0           0            0.0          1100.0     0.0    90.0     0.90  6000.0    90.0         0.0              0.0             0
 252       BulletB     0.0        0           0            0.0          1400.0     0.0    90.0     0.90  7000.0    90.0         0.0              0.0             0
 503       Rock107     0.6        0           0            0.0           380.0     1.5    55.0     0.20  5400.0    90.0         0.0              0.0             0
 509       Rock122     1.8        0           0            0.0           996.0     1.5    55.0     0.20  5400.0    90.0         0.0              0.0             0
 511       Rock240     4.0        0           0            0.0           836.0     1.5    55.0     0.20  5400.0    90.0         0.0              0.0             0
 515       Rock300     6.0        0           0            0.0          1319.0     1.5    55.0     0.20  5400.0    90.0         0.0              0.0             0
 516       Rock544     6.8        0           0            0.0          1187.0     1.5    55.0     0.20  5400.0    90.0         0.0              0.0             0
 601        Art122     0.0        0           0            0.0           855.0    10.0    55.0     0.90  5400.0    90.0         0.0              0.0             0
 602        Art152     0.0        0           0            0.0           950.0    10.0    55.0     0.90  5400.0    90.0         0.0              0.0             0
 606       Art152x     0.0        0           0            0.0           580.0    10.0    55.0     0.90  5400.0    90.0         0.0              0.0             0
 701        Mort60     0.0        0           0            0.0           142.0    45.0    75.0     0.90  5400.0    90.0         0.0              0.0             0
 702        Mort82     0.0        0           0            0.0           300.0    45.0    75.0     0.90  5400.0    90.0         0.0              0.0             0
 704       Mort120     0.0        0           0            0.0           400.0    45.0    75.0     0.90  5400.0    90.0         0.0              0.0             0
