%Wpn_Id Name    Msl_Id Dt_Lead Dt_Max_Coast Dt_Orient Dt_Deploy Dt_Acquire Dt_Min_Tof Dt_Max_Tof  Dt_pre_bo Dt_post_bo Pen_bo Pen_pre_bo  Dt_Radar_FC Dt_FC_Processing  Dt_Launch_Spacing Dt_Comm_after_Launch Dt_Comm_before_Int Load_Comm Dt_Lead_Comm Dt_Comm_Event Dt_Last_Comm  Dt_sen_support  Load_sen_support  Rel_KV  Close_Speed0 Close_Speed1  FOF_halfangle  Deadzone_Radius Min_Alt_Stage3  Min_Alt_Int  Eff_Alt  Max_Alt  Check_Earth_BG  PK_Strike0  Strike_Angle0  Strike_Angle1 Look_Angle0 Inventory
 1       LBEI  230    3.0     60            3         3         8          70         500         0         0          0      0           2           2                 4                 50                   3                  0.10      1            1             5            20              0.20              0.95    1000         1400          180            1000            75000            50000        80000    9999999  1               0.75        0.0            0.0           0.0        20
 2     AegisU  230    3.0     60            3         3         8          70         500         0         0          0      0           2           2                 3                 50                   3                  0.10      1            1             5            25              0.15              0.95    1000         1400          180            1000            75000            50000        80000    9999999  1               0.75        0.0            0.0           0.0        20
22 AegisBlk1B  229    3.0     60            3         3         8          70         750         0         0          0      0           2           2                 3                 50                   3                  0.10      1            1             5            25              0.15              0.95    1000         7500          180            1000            75000            50000        80000    9999999  1               0.75        0.0          135.0           0.0        20
 3      Thaad  231   10.0      0            3         3         8          90         350         0         0          0      0           2           2                 5                 30                   3                  0.10      1            1             5            30              0.25              0.95    1500        10000          180            1000                0            40000        50000     350000  1               0.75        0.0          135.0          15.0        10
 4      SLAMR  203    3.0      0            0         0         0           3.35     9999         0         0          0      0           2           2                 3                 12                   1                  0.10      1            1             2.5          20              0.20              0.95      50           51          180             500                0                0            0          0  0               0.75        0.0            0.0           0.0        10
 5       PAC2  204    5.0      0            0         0         0           4.10     9999         0         0          0      0           2           2                 5                 15                   3                  0.10      1            1             0            20              0.20              0.95      50           51           90            4000                0               50         1000      20000  0               0.75        0.0            0.0           0.0        10
85    PAC2M20  804    5.0      0            0         0         0           4.10     9999         0         0          0      0           2           2                 5                 15                   3                  0.10      1            1             0            20              0.20              0.95      50           51           90            4000                0               50         1000      20000  0               0.75        0.0            0.0           0.0        10
95    PAC2P20  904    5.0      0            0         0         0           4.10     9999         0         0          0      0           2           2                 5                 15                   3                  0.10      1            1             0            20              0.20              0.95      50           51           90            4000                0               50         1000      20000  0               0.75        0.0            0.0           0.0        10
 6       PAC3  205    5.0      0            0         0         0           6.00     9999         0         0          0      0           2           2                 5                 15                   3                  0.10      1            1             3            20              0.20              0.95      50           51           90             500                0            10000        15000      40000  0               0.75        0.0            0.0           0.0        10
 7        MSE  206    5.0      0            0         0         0           5.20     9999         0         0          0      0           2           2                 5                 15                   3                  0.10      1            1             3            20              0.20              0.95     300          500           90             500                0            10000        15000      40000  1               0.75        0.0            0.0           0.0        10
 8       EAPS  201    0.5      0            0         0         0           4.50       35         0.1       0.4        0.6    0.75        2           2                 1                  1                   0.2                0.10      1            1             0             4              0.25              0.95     400          700          180             100                0                0            0     999999  0               0.75       20.0           30.0           0.0        16
 9        GMD  220   20.0      0           10         5        60         250        1000         0         0          0      0           2           2                10                250                  90                  0.10      3            5            30            40              0.10              0.95    3500         4000          180            1000                0           100000       100001    9999999  1               0.75        0.0            0.0           0.0        10
10       SysA  261   10.0      0            3         3         8          90         350         0         0          0      0           2           2                 5                 30                   3                  0.10      1            1             5            30              0.25              0.95    1500         2000          180            1000                0            40000        50000     350000  1               0.75        0.0            0.0          15.0        10
11       SysB  262   10.0      0            3         3         8          90         350         0         0          0      0           2           2                 5                 30                   3                  0.10      1            1             5            30              0.25              0.95    1500         2000          180            1000                0            40000        50000     350000  1               0.75        0.0            0.0          15.0        10
12       SysC  263    5.0      0            0         0         0           6.00     9999         0         0          0      0           2           2                 5                 15                   3                  0.10      1            1             3            20              0.20              0.95      50           51           90             500                0            10000        15000     250000  1               0.75        0.0            0.0           0.0        10
13        AI3  200    0.5      0            0         0         0           2.0        25         0.1       0.4        0.6    0.75        2           2                 1                  1                   0.2                0.10      1            1             0             4              0.25              0.95     400          700          180             100                0                0            0     999999  0               0.75       20.0           30.0           0.0        4
